Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;50.23529411764706;Apartamento
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;76.08695652173913;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;71.14285714285714;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;23.68421052631579;Apartamento
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;29.5;Apartamento
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;59.6;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;31.114754098360656;Apartamento
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;35.736;Apartamento
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;36.05;Apartamento
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;80.2;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;43.69230769230769;Apartamento
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;74.12;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;26.7843137254902;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;23.384615384615383;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;49.98333333333333;Apartamento
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;23.196202531645568;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;45.87951807228916;Apartamento
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;30.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;38.273809523809526;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;33.96103896103896;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;28.666666666666668;Apartamento
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;70.63492063492063;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;28.90173410404624;Apartamento
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;29.5774647887324;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;39.76543209876543;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;57.96551724137931;Apartamento
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;32.81944444444444;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;25.37254901960784;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;78.57142857142857;Apartamento
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;24.09230769230769;Apartamento
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;52.28402366863905;Apartamento
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;41.23333333333333;Apartamento
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;43.44;Apartamento
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;62.9;Apartamento
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;19.666666666666668;Apartamento
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;51.25714285714286;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;30.17460317460317;Apartamento
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;46.50892857142857;Apartamento
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;21.44186046511628;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;69.6875;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;29.032258064516128;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;27.365591397849464;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;69.16666666666667;Apartamento
Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;20.727272727272727;Apartamento
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;44.25925925925926;Apartamento
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;69.21428571428571;Apartamento
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;34.113207547169814;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;39.4;Apartamento
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;30.896341463414632;Apartamento
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;28.95;Apartamento
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;22.84;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;71.0379746835443;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;27.725;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;44.97222222222222;Apartamento
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;39.87894736842105;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;28.571428571428573;Apartamento
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;32.0;Apartamento
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;24.96385542168675;Apartamento
Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;12.77777777777778;Apartamento
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;86.84210526315789;Apartamento
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;33.473684210526315;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;43.23809523809524;Apartamento
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;55.2;Apartamento
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;62.012121212121215;Apartamento
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;88.125;Apartamento
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;57.29166666666666;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;74.26436781609195;Apartamento
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;51.42857142857143;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;64.75;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;62.74509803921568;Apartamento
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;31.816666666666663;Apartamento
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;51.785714285714285;Apartamento
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;18.08333333333333;Apartamento
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;50.8;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;76.504;Apartamento
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;35.320754716981135;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;27.87121212121212;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;55.895348837209305;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;31.75;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;25.485;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;45.27272727272727;Apartamento
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;21.603174603174605;Apartamento
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;44.49664429530201;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;33.283018867924525;Apartamento
Apartamento;Anil;2;1;0;48;1100.0;400.0;0.0;31.25;Apartamento
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;54.94117647058823;Apartamento
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;35.733333333333334;Apartamento
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;162.11340206185568;Apartamento
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0;16.142857142857142;Apartamento
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;19.874551971326166;Apartamento
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0;21.571428571428573;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;12.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;32.06741573033708;Apartamento
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0;17.791666666666668;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;27.640883977900558;Apartamento
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;35.114285714285714;Apartamento
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;14.742857142857142;Apartamento
Apartamento;Madureira;2;0;0;40;600.0;415.0;0.0;25.375;Apartamento
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;31.453333333333333;Apartamento
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;49.17283950617284;Apartamento
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0;13.833333333333334;Apartamento
Apartamento;Vila Isabel;3;3;1;124;1700.0;1400.0;0.0;25.0;Apartamento
Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;17.788372093023256;Apartamento
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;77.28;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;21.03174603174603;Apartamento
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;44.42857142857143;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;36.14893617021277;Apartamento
Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;40.427083333333336;Apartamento
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;53.34883720930232;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;42.57142857142857;Apartamento
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;23.56164383561644;Apartamento
Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;0.0;36.833333333333336;Apartamento
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0;16.59375;Apartamento
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;72.88888888888889;Apartamento
Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;33.04545454545455;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;54.70588235294117;Apartamento
Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;53.6;Apartamento
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;24.11764705882353;Apartamento
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;47.1875;Apartamento
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;80.1891891891892;Apartamento
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;32.31132075471698;Apartamento
Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;20.846153846153847;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;42.85714285714285;Apartamento
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;23.571428571428573;Apartamento
Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;64.76851851851852;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;44.41176470588236;Apartamento
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;47.888888888888886;Apartamento
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;53.3875;Apartamento
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;48.46153846153846;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;30.2;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;38.98888888888889;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;43.2125;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;28.96470588235294;Apartamento
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;84.7953216374269;Apartamento
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;71.92857142857143;Apartamento
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;26.41935483870968;Apartamento
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;28.246153846153845;Apartamento
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;58.48837209302326;Apartamento
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;65.25;Apartamento
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;65.43859649122807;Apartamento
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;28.06122448979592;Apartamento
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;43.52941176470589;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;66.46;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;23.41333333333333;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;54.46153846153846;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;21.933333333333334;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;22.269565217391303;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;21.572727272727278;Apartamento
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;45.17045454545455;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;73.10344827586206;Apartamento
Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;67.35849056603773;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;59.62068965517241;Apartamento
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;25.724137931034484;Apartamento
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;23.78048780487805;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;53.33076923076923;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;25.5;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;39.47058823529412;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;59.13333333333333;Apartamento
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;32.075471698113205;Apartamento
Apartamento;Penha;2;0;0;64;950.0;180.0;0.0;17.65625;Apartamento
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;60.76923076923077;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;55.55555555555556;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;60.775;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;33.785714285714285;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;62.0;Apartamento
