Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Apartamento;Méier;2;1;0;85;1100.0;180.0;79.0;15.988235294117647;Apartamento
Loja/Salão;Barra da Tijuca;0;3;0;500;39000.0;1817.0;5094.0;91.822;Apartamento
Casa;Jardim Botânico;4;0;3;280;10000.0;0.0;520.0;37.57142857142857;Casa
Apartamento;Leme;3;0;0;67;3000.0;1200.0;0.0;62.6865671641791;Apartamento
Apartamento;Lagoa;2;1;1;82;2800.0;1270.0;234.0;52.48780487804878;Apartamento
Apartamento;Vargem Pequena;2;1;0;45;1200.0;295.0;27.0;33.82222222222222;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;125;10000.0;2670.0;0.0;101.36;Apartamento
Apartamento;Barra da Tijuca;1;1;1;65;1000.0;2650.0;180.0;58.92307692307692;Apartamento
Apartamento;Ipanema;2;1;1;100;10900.0;4400.0;400.0;157.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;110;2900.0;720.0;280.0;35.45454545454545;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;320;15000.0;2400.0;7015.0;76.296875;Apartamento
Apartamento;Copacabana;3;0;0;120;2700.0;1187.0;305.0;34.93333333333333;Apartamento
Apartamento;Botafogo;2;1;1;80;3800.0;1040.0;182.0;62.775;Apartamento
Casa de Vila;São Cristóvão;1;0;0;33;1400.0;0.0;53.0;44.03030303030303;Casa
Apartamento;Lagoa;4;4;2;370;25000.0;4900.0;1700.0;85.4054054054054;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;0;76;1600.0;478.0;157.0;29.407894736842106;Apartamento
Apartamento;Tijuca;2;1;0;70;2000.0;526.0;764.0;47.0;Apartamento
Apartamento;Copacabana;4;1;1;152;5500.0;2400.0;1900.0;64.47368421052632;Apartamento
Flat;Jacarepaguá;1;1;0;35;1100.0;950.0;20.0;59.142857142857146;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;72;3600.0;1487.0;249.0;74.11111111111111;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;850;32000.0;1510.0;15804.0;58.01647058823529;Casa
Casa;Recreio dos Bandeirantes;3;3;1;120;2200.0;926.0;260.0;28.216666666666665;Casa
Galpão/Depósito/Armazém;Penha;0;0;0;650;8000.0;0.0;0.0;12.307692307692308;Apartamento
Apartamento;Barra da Tijuca;2;2;0;161;3000.0;3329.0;451.0;42.11180124223603;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;0;110;2500.0;754.0;2181.0;49.40909090909091;Apartamento
Apartamento;Leme;3;1;1;240;10000.0;1300.0;500.0;49.166666666666664;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;60;4500.0;1930.0;322.0;112.53333333333333;Apartamento
Conjunto Comercial/Sala;Catete;1;0;0;40;2200.0;700.0;90.0;74.75;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;30;800.0;400.0;0.0;40.0;Apartamento
Apartamento;Glória;1;0;0;39;900.0;246.0;0.0;29.384615384615383;Apartamento
Apartamento;Tijuca;2;0;0;58;1300.0;470.0;24.0;30.93103448275862;Apartamento
Conjunto Comercial/Sala;Centro;1;0;0;25;700.0;325.0;107.0;45.28;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;196;12000.0;3285.0;1299.0;84.61224489795919;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;50;1800.0;1300.0;370.0;69.4;Apartamento
Loja/Salão;Centro;0;0;0;200;20000.0;0.0;0.0;100.0;Apartamento
Apartamento;Andaraí;3;0;0;90;1650.0;250.0;70.0;21.88888888888889;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;680;17000.0;8390.0;3332.0;42.23823529411764;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;5;0;260;18000.0;9554.0;3239.0;118.43461538461538;Apartamento
Apartamento;Leblon;1;0;1;90;6000.0;600.0;138.0;74.86666666666666;Apartamento
Apartamento;Catete;0;0;0;30;1000.0;445.0;29.0;49.13333333333333;Apartamento
Loja/Salão;Centro;0;0;0;400;18000.0;3120.0;2500.0;59.05;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;30;1100.0;947.0;0.0;68.23333333333333;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;106;3000.0;2122.0;480.0;52.84905660377358;Apartamento
Apartamento;Copacabana;2;1;0;80;2600.0;845.0;90.0;44.1875;Apartamento
Conjunto Comercial/Sala;Botafogo;0;3;0;300;22000.0;7500.0;320.0;99.4;Apartamento
Apartamento;Copacabana;4;1;0;150;7000.0;1500.0;0.0;56.666666666666664;Apartamento
Apartamento;Tijuca;1;0;0;40;1200.0;398.0;25.0;40.575;Apartamento
Apartamento;Flamengo;3;0;0;210;3500.0;1530.0;342.0;25.580952380952382;Apartamento
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;0;0;270;9500.0;2500.0;0.0;44.44444444444444;Apartamento
Conjunto Comercial/Sala;Ipanema;0;1;0;120;32400.0;2000.0;0.0;286.6666666666667;Apartamento
Loja/Salão;Campo Grande;0;0;0;70;1550.0;0.0;90.0;23.428571428571427;Apartamento
Apartamento;Copacabana;3;1;1;131;4000.0;1480.0;0.0;41.83206106870229;Apartamento
Apartamento;Laranjeiras;2;0;0;70;2700.0;750.0;97.0;50.67142857142857;Apartamento
Apartamento;Campo Grande;4;2;1;140;2000.0;600.0;0.0;18.571428571428573;Apartamento
Apartamento;Barra da Tijuca;2;2;1;140;1900.0;950.0;180.0;21.642857142857142;Apartamento
Conjunto Comercial/Sala;Botafogo;0;3;0;242;18000.0;9347.0;2081.0;121.60330578512396;Apartamento
Casa Comercial;Taquara;0;0;0;345;12000.0;0.0;0.0;34.78260869565217;Apartamento
Casa;Campo Grande;6;4;0;180;10000.0;0.0;0.0;55.55555555555556;Casa
Apartamento;Ipanema;3;2;1;130;6000.0;2200.0;500.0;66.92307692307692;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;148;10000.0;3800.0;420.0;96.08108108108108;Apartamento
Apartamento;Tijuca;1;0;0;50;1100.0;350.0;21.0;29.42;Apartamento
Conjunto Comercial/Sala;Centro;0;9;0;315;23625.0;6850.0;1856.0;102.63809523809523;Apartamento
Apartamento;Barra da Tijuca;3;2;1;210;7500.0;2800.0;5800.0;76.66666666666667;Apartamento
Apartamento;Lagoa;5;2;2;490;18000.0;2420.0;950.0;43.61224489795919;Apartamento
Apartamento;São Conrado;3;2;1;170;9000.0;1600.0;0.0;62.35294117647059;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;680.0;960.0;162.0;56.3125;Apartamento
Apartamento;Copacabana;2;0;0;74;2200.0;950.0;0.0;42.567567567567565;Apartamento
Conjunto Comercial/Sala;Saúde;0;20;0;1700;178500.0;0.0;0.0;105.0;Apartamento
Casa;Vila Isabel;3;0;0;90;2000.0;0.0;0.0;22.22222222222222;Casa
Conjunto Comercial/Sala;Botafogo;0;2;0;80;5000.0;2186.0;1588.0;109.675;Apartamento
Apartamento;Lagoa;3;2;1;117;4900.0;1100.0;587.0;56.2991452991453;Apartamento
Apartamento;Barra da Tijuca;4;3;2;150;4500.0;2000.0;0.0;43.333333333333336;Apartamento
Apartamento;Taquara;1;1;0;49;800.0;465.0;35.0;26.53061224489796;Apartamento
Apartamento;Glória;2;0;0;65;1800.0;538.0;68.0;37.01538461538462;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;28;1300.0;605.0;105.0;71.78571428571429;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;1;103;2250.0;1000.0;1626.0;47.33980582524272;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;130;5000.0;800.0;150.0;45.76923076923077;Apartamento
Apartamento;Laranjeiras;2;1;1;90;3300.0;1865.0;258.0;60.25555555555555;Apartamento
Apartamento;Camorim;3;2;1;84;2000.0;900.0;824.0;44.333333333333336;Apartamento
